@relation fat

@attribute fat numeric
@attribute bmi numeric

@data

12.6,23.7
6.9,23.4
24.6,24.7
10.9,24.9
27.8,25.6
20.6,26.5
19,26.2
12.8,23.6
5.1,24.6
12,25.8
7.5,23.6
8.5,26.3
20.5,26.3
20.8,28.5
21.7,27.4
20.5,26.3
28.1,27.3
22.4,29.2
16.1,28.2
16.5,27.6
19,27.3
15.3,29.1
15.7,21.2
17.6,21.4
14.2,23.2
4.6,21.9
8.5,20.3
22.4,22.9
4.7,22.4
9.4,23.8
12.3,23.6
6.5,22.2
13.4,23.3
20.9,30.5
31.1,32.2
38.2,32
23.6,29.1
27.5,29.7
33.8,48.9
31.3,31.8
33.1,39.1
31.7,29.9
30.4,31.2
30.8,29.2
8.4,19.1
14.1,21.3
11.2,20.6
6.4,20.6
13.4,20.4
5,20.2
10.7,21.3
7.4,20.6
8.7,21.1
7.1,19.9
4.9,21.1
22.2,26.9
20.1,27.6
27.1,29.3
30.4,28.4
24,29.2
25.4,28.2
28.8,26.8
29.6,27.6
25.1,27.9
31,29.5
28.9,28.3
21.1,21.3
14,21.3
7.1,22.8
13.2,21.6
23.7,23.1
9.4,21.9
9.1,20.8
13.7,21.5
12,23.3
18.3,22.9
9.2,23.7
21.7,26.7
21.1,23
18.6,25.1
30.2,25.1
26,23.4
18.2,25.3
26.2,24.5
26.1,24.7
25.8,26
15,24.6
22.6,26
8.8,23.7
14.3,23.3
20.2,25.4
18.1,26.2
9.2,23.4
24.2,26.3
9.6,23.4
17.3,26.1
10.1,24.8
11.1,25.9
17.7,23.7
21.7,26.7
20.8,25.9
20.1,23.6
19.8,24
21.9,25.5
24.7,26
17.8,24.8
19.1,26
18.2,26
17.2,24
21,24.7
19.5,25.6
27.1,26.3
21.6,25.6
20.9,23.3
25.9,24
16.7,23.4
19.8,23.6
14.1,24.3
25.1,24.6
17.9,25.3
27,26.2
24.6,25.5
14.8,23.9
16,23.9
14,25.6
17.4,26.2
26.4,26.4
17.4,23.4
20.4,25.2
15,23.9
18,23.7
22.2,24.3
23.1,25.8
25.3,24.8
23.8,24.5
26.3,26.8
21.4,23.5
28.4,24.1
21.8,23.3
20.1,26.6
24.3,24.6
18.1,25.3
22.7,25.6
9.9,21.6
10.8,22.1
14.4,21.9
19,27.7
28.6,29.8
6.1,19.3
24.5,31.8
9.9,22.5
19.1,30.7
10.6,19.7
16.5,24.4
20.5,26.1
17.2,21.6
30.1,30.4
10.5,24.6
12.8,20.3
22,24.4
9.9,20.4
14.8,25.9
13.3,24.4
15.2,19.8
26.5,29.7
19,28.1
21.4,25.3
20,30.3
34.7,33.3
16.5,25.2
4.1,23.4
1.9,20.6
20.2,24.8
16.8,24.3
24.6,31
10.4,21.3
13.4,23.7
28.8,33.2
22,27.5
16.8,29.8
25.8,28
0,18.1
11.9,22.7
12.4,23
17.4,21.8
9.2,23.1
23,29.7
20.1,28.6
20.2,27
23.8,28
11.8,22.5
36.5,29.8
16,27.4
24,28.3
