@relation creditRisk

@attribute Married {Yes, No}
@attribute Dependents {0, 1, 2, 3}
@attribute Education {Graduate, NotGraduate}
@attribute Self_Employed {Yes, No} 
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Credit_History {0, 1}
@attribute Property_Area {Rural, Urban, Semiurban}
@attribute Loan_Status {Y, N}

@data
Yes,0,Graduate,No,5720,0,110,360,1,Urban,Y
Yes,1,Graduate,No,3076,1500,126,360,1,Urban,Y
Yes,2,Graduate,No,5000,1800,208,360,1,Urban,Y
No,0,NotGraduate,No,3276,0,78,360,1,Urban,N
Yes,0,NotGraduate,Yes,2165,3422,152,360,1,Urban,Y
No,1,NotGraduate,No,2226,0,59,360,1,Semiurban,Y
Yes,2,NotGraduate,No,3881,0,147,360,0,Rural,N
No,0,NotGraduate,No,2400,2400,123,360,1,Semiurban,Y
No,0,NotGraduate,No,3091,0,90,360,1,Urban,Y
No,0,Graduate,No,4666,0,124,360,1,Semiurban,Y
No,1,Graduate,No,5667,0,131,360,1,Urban,Y
Yes,2,Graduate,No,4583,2916,200,360,1,Urban,Y
Yes,3,Graduate,No,3786,333,126,360,1,Semiurban,Y
Yes,0,Graduate,No,9226,7916,300,360,1,Urban,Y
No,0,Graduate,No,1300,3470,100,180,1,Semiurban,Y
Yes,1,NotGraduate,No,1888,1620,48,360,1,Urban,Y
No,3,NotGraduate,No,2083,0,28,180,1,Urban,Y
No,0,NotGraduate,No,3765,0,125,360,1,Urban,Y
Yes,0,Graduate,No,5400,4380,290,360,1,Urban,Y
No,0,Graduate,No,0,24000,148,360,0,Rural,N
Yes,0,Graduate,No,7500,3750,275,360,1,Urban,Y
No,0,Graduate,No,2942,2382,125,180,1,Urban,Y
No,0,NotGraduate,No,2478,0,75,360,1,Semiurban,Y
Yes,2,Graduate,No,6250,820,192,360,1,Urban,Y
No,0,Graduate,No,3268,1683,152,360,1,Semiurban,Y
Yes,0,Graduate,No,2783,2708,158,360,1,Urban,Y
Yes,0,Graduate,No,2740,1541,101,360,1,Urban,Y
No,0,Graduate,No,3150,0,176,360,0,Semiurban,N
Yes,0,Graduate,Yes,2267,2792,90,360,1,Urban,Y
No,0,Graduate,Yes,5833,0,116,360,1,Urban,Y
No,0,Graduate,No,3643,1963,138,360,1,Urban,Y
Yes,0,Graduate,No,5629,818,100,360,1,Urban,Y
No,0,Graduate,No,3644,0,110,360,1,Urban,Y
Yes,0,NotGraduate,No,1750,2024,90,360,1,Semiurban,Y
No,0,Graduate,No,6500,2600,200,360,1,Semiurban,Y
No,0,Graduate,No,3666,0,84,360,1,Urban,Y
No,0,NotGraduate,No,2356,1902,108,360,1,Semiurban,Y
Yes,3,NotGraduate,Yes,8000,250,187,360,1,Semiurban,Y
Yes,1,Graduate,No,2419,1707,124,360,1,Urban,Y
Yes,1,Graduate,No,3500,3077,160,360,1,Semiurban,Y
Yes,2,Graduate,No,4116,1000,30,180,1,Urban,Y
Yes,0,NotGraduate,Yes,5293,0,92,360,1,Urban,Y
No,0,Graduate,No,2750,0,130,360,0,Urban,N
No,0,NotGraduate,No,4402,0,130,360,1,Rural,Y
Yes,2,Graduate,No,3613,3539,134,180,1,Semiurban,Y
Yes,2,Graduate,No,2779,3664,176,360,0,Semiurban,N
Yes,3,Graduate,No,4720,0,90,180,1,Semiurban,Y
Yes,0,NotGraduate,No,2415,1721,110,360,1,Semiurban,Y
Yes,0,Graduate,Yes,7016,292,125,360,1,Urban,Y
No,2,Graduate,No,4968,0,189,360,1,Semiurban,Y
No,0,Graduate,No,2101,1500,108,360,0,Rural,N
Yes,3,NotGraduate,No,4490,0,125,360,1,Urban,Y
Yes,0,Graduate,No,2917,3583,138,360,1,Semiurban,Y
Yes,0,NotGraduate,No,4700,0,135,360,0,Semiurban,N
Yes,0,Graduate,No,3445,0,130,360,0,Semiurban,N
Yes,0,Graduate,No,7666,0,187,360,1,Semiurban,Y
Yes,0,Graduate,No,2458,5105,188,360,0,Rural,N
No,0,Graduate,No,4463,0,65,360,1,Semiurban,Y
Yes,0,Graduate,Yes,3900,2094,232,360,1,Rural,Y
Yes,0,NotGraduate,No,4750,3583,144,360,1,Semiurban,Y
No,0,Graduate,No,3583,3435,155,360,1,Urban,Y
Yes,0,Graduate,No,3189,2367,186,360,1,Urban,Y
No,0,Graduate,Yes,6356,0,50,360,1,Rural,Y
Yes,0,Graduate,No,7950,0,185,360,1,Urban,Y
Yes,3,Graduate,No,3829,1103,163,360,0,Urban,N
Yes,3,Graduate,No,72529,0,360,360,1,Urban,Y
Yes,2,NotGraduate,No,4136,0,149,480,0,Rural,N
Yes,0,Graduate,No,8449,0,257,360,1,Rural,N
Yes,0,Graduate,No,4456,0,131,180,0,Semiurban,N
Yes,2,Graduate,No,4635,8000,102,180,1,Rural,Y
Yes,0,Graduate,No,3571,1917,135,360,1,Urban,Y
No,0,Graduate,No,3066,0,95,360,1,Semiurban,Y
No,2,NotGraduate,No,3235,2015,77,360,1,Semiurban,Y
Yes,3,Graduate,No,13518,0,390,360,1,Rural,Y
Yes,1,Graduate,No,4364,2500,185,360,1,Semiurban,Y
Yes,2,NotGraduate,No,4766,1646,100,360,1,Semiurban,Y
Yes,1,Graduate,No,4609,2333,123,360,0,Semiurban,N
Yes,3,Graduate,No,6260,0,110,360,1,Semiurban,Y
Yes,1,Graduate,No,3333,4200,256,360,1,Urban,Y
Yes,0,Graduate,No,3500,3250,140,360,1,Semiurban,Y
Yes,3,Graduate,No,9719,0,61,360,1,Urban,Y
No,0,Graduate,No,4452,0,131,360,1,Rural,Y
Yes,1,Graduate,No,3901,0,116,360,1,Urban,Y
Yes,2,NotGraduate,No,2687,0,50,180,1,Rural,Y
Yes,0,Graduate,No,3417,1287,200,360,1,Semiurban,Y
Yes,3,Graduate,No,4513,0,120,360,1,Rural,Y
Yes,0,Graduate,No,4500,0,140,360,1,Semiurban,Y
Yes,0,NotGraduate,No,4523,1350,165,360,1,Urban,Y
No,0,Graduate,Yes,4742,0,108,360,1,Semiurban,Y
No,0,Graduate,No,3417,0,102,360,1,Urban,Y
Yes,2,Graduate,No,2922,3396,122,360,1,Semiurban,Y
Yes,0,Graduate,No,4167,4754,160,360,1,Rural,Y
No,0,NotGraduate,No,0,1760,180,360,1,Semiurban,N
No,0,Graduate,No,1762,2666,104,360,0,Urban,N
Yes,2,Graduate,No,724,3510,213,360,0,Rural,N
No,0,Graduate,No,3125,0,65,360,1,Urban,Y
Yes,0,Graduate,No,2333,3803,146,360,1,Rural,Y
Yes,3,Graduate,No,3350,1560,135,360,1,Urban,Y
No,0,Graduate,No,2500,6414,187,360,0,Rural,N
No,0,Graduate,No,12500,0,300,360,0,Urban,N
No,0,Graduate,No,4667,0,120,360,1,Semiurban,Y
No,0,Graduate,No,6500,0,71,360,0,Urban,N
Yes,2,Graduate,No,7500,0,225,360,1,Urban,Y
No,0,Graduate,No,3073,0,70,180,1,Urban,Y
Yes,0,Graduate,No,3333,1270,124,360,1,Urban,Y
No,0,Graduate,No,3391,0,132,360,1,Rural,N
Yes,1,Graduate,Yes,3343,1517,105,360,1,Rural,Y
No,1,Graduate,No,3620,0,90,360,1,Urban,Y
No,0,Graduate,No,4000,0,83,84,1,Urban,Y
Yes,0,Graduate,No,4258,0,125,360,1,Urban,Y
Yes,2,Graduate,No,4500,0,147,360,1,Rural,Y
Yes,1,Graduate,No,2014,2925,120,360,1,Rural,Y
No,0,Graduate,No,4727,0,150,360,0,Rural,N
Yes,3,Graduate,No,3089,2999,100,240,1,Rural,Y
Yes,2,Graduate,Yes,10890,0,260,12,1,Rural,Y
No,0,Graduate,No,12941,0,150,300,1,Urban,Y
No,0,NotGraduate,No,3276,0,90,360,1,Semiurban,Y
No,0,NotGraduate,Yes,8703,0,199,360,0,Rural,N
Yes,1,Graduate,No,4742,717,139,360,1,Semiurban,Y
No,0,Graduate,No,5900,0,150,360,1,Urban,Y
No,0,Graduate,No,3071,4309,180,360,1,Urban,Y
Yes,0,Graduate,No,2783,1456,113,360,1,Urban,Y
No,0,Graduate,No,5000,0,148,360,1,Rural,Y
Yes,1,NotGraduate,No,2463,2360,117,360,0,Urban,N
Yes,2,Graduate,No,4855,0,72,360,1,Rural,Y
No,0,NotGraduate,Yes,1599,2474,125,300,1,Semiurban,Y
Yes,2,Graduate,Yes,4246,4246,214,360,1,Urban,Y
Yes,0,Graduate,No,4333,2291,133,350,1,Rural,N
No,1,Graduate,No,5823,2529,187,360,1,Semiurban,Y
Yes,0,NotGraduate,No,7895,0,143,360,1,Rural,N
No,0,Graduate,No,4150,4256,209,360,1,Rural,Y
No,0,Graduate,No,5583,0,116,360,1,Urban,Y
No,0,Graduate,No,2708,0,65,360,1,Rural,Y
No,0,NotGraduate,No,2268,0,170,360,0,Semiurban,N
No,2,NotGraduate,No,1141,2017,120,360,0,Urban,N
Yes,0,Graduate,No,3042,3167,135,360,1,Urban,Y
Yes,1,Graduate,No,3564,0,79,360,1,Rural,N
No,0,Graduate,No,3958,0,110,360,1,Rural,Y
Yes,2,NotGraduate,No,4483,0,130,360,1,Rural,Y
Yes,0,Graduate,No,5225,0,143,360,1,Rural,N
No,0,Graduate,No,3017,2845,159,180,0,Urban,N
Yes,0,NotGraduate,No,2431,1820,110,360,0,Rural,N
Yes,2,NotGraduate,No,2500,3333,131,360,1,Urban,Y
Yes,2,Graduate,No,5128,0,143,360,1,Rural,Y
Yes,2,Graduate,No,3958,2632,160,360,1,Semiurban,Y
Yes,0,Graduate,No,4334,2945,165,360,1,Semiurban,Y
Yes,2,Graduate,No,4358,0,110,360,1,Urban,Y
Yes,1,Graduate,No,4000,3917,173,360,1,Rural,Y
Yes,2,NotGraduate,No,4521,1184,150,360,1,Semiurban,Y
Yes,2,Graduate,No,9167,0,235,360,1,Semiurban,Y
Yes,2,Graduate,No,7874,3967,336,360,1,Rural,Y
Yes,1,Graduate,No,4333,0,132,84,1,Rural,Y
No,0,Graduate,No,4083,0,96,360,1,Urban,Y
Yes,3,NotGraduate,No,2654,1998,128,360,0,Rural,N
Yes,1,Graduate,No,10000,2690,412,360,1,Semiurban,N
No,0,Graduate,Yes,5833,0,116,360,1,Urban,Y
Yes,1,Graduate,No,4796,0,114,360,0,Semiurban,N
Yes,0,NotGraduate,No,2000,1600,115,360,1,Rural,Y
Yes,2,Graduate,No,2540,700,104,360,0,Urban,N
Yes,0,Graduate,Yes,1900,1442,88,360,1,Rural,Y
Yes,0,Graduate,Yes,8706,0,108,480,1,Rural,Y
Yes,3,NotGraduate,No,2855,542,90,360,1,Urban,Y
Yes,0,Graduate,No,3159,2374,108,360,1,Semiurban,Y
No,0,Graduate,No,1937,1152,78,360,1,Semiurban,Y
Yes,0,Graduate,No,2613,2417,123,360,1,Semiurban,Y
Yes,1,Graduate,No,4960,2600,187,360,1,Semiurban,Y
Yes,1,Graduate,No,3074,1083,146,360,1,Semiurban,Y
No,0,Graduate,No,4213,0,80,360,1,Urban,N
No,0,Graduate,No,2362,0,55,360,1,Urban,Y
No,0,Graduate,No,5333,2400,200,360,0,Rural,N
Yes,3,Graduate,Yes,5384,0,150,360,1,Semiurban,Y
No,0,Graduate,No,5708,0,150,360,1,Rural,Y
Yes,0,NotGraduate,No,2914,2130,150,300,1,Urban,Y
Yes,0,NotGraduate,No,2747,2458,118,36,1,Semiurban,Y
Yes,0,Graduate,No,7830,2183,212,360,1,Rural,Y
Yes,1,Graduate,Yes,3507,3148,212,360,1,Rural,Y
Yes,1,Graduate,No,3747,2139,125,360,1,Urban,Y
Yes,0,NotGraduate,No,3500,2168,149,360,1,Rural,Y
Yes,2,NotGraduate,No,2896,0,80,480,1,Urban,Y
No,1,Graduate,No,5062,0,152,300,1,Rural,Y
No,2,Graduate,Yes,5184,0,187,360,0,Semiurban,N
No,0,Graduate,No,2545,0,74,360,1,Urban,Y
Yes,0,Graduate,No,2553,1768,102,360,1,Urban,Y
Yes,1,Graduate,No,3436,3809,100,360,1,Rural,Y
No,0,Graduate,No,2412,2755,130,360,1,Rural,Y
Yes,3,NotGraduate,No,5180,0,125,360,0,Urban,N
No,0,Graduate,No,14911,14507,130,360,1,Semiurban,Y
Yes,0,Graduate,No,1173,1594,28,180,1,Rural,Y
No,1,Graduate,No,7600,0,92,360,1,Semiurban,Y
Yes,0,Graduate,No,2157,1788,104,360,1,Urban,Y
No,0,Graduate,No,2231,2774,176,360,0,Urban,N
No,0,Graduate,No,2274,5211,117,360,0,Semiurban,N
Yes,2,NotGraduate,No,6166,13983,102,360,1,Rural,Y
Yes,2,NotGraduate,No,2513,1110,107,360,1,Semiurban,Y
No,0,Graduate,No,4333,0,66,480,1,Urban,N
No,0,NotGraduate,No,3844,0,105,360,1,Urban,Y
Yes,0,Graduate,No,3887,1517,105,360,0,Semiurban,N
Yes,0,Graduate,No,3510,828,105,360,1,Semiurban,Y
