@relation creditRisk

@attribute Married {Yes, No}
@attribute Dependents {0, 1, 2, 3}
@attribute Education {Graduate, NotGraduate}
@attribute Self_Employed {Yes, No} 
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Credit_History {0, 1}
@attribute Property_Area {Rural, Urban, Semiurban}
@attribute Loan_Status {Y, N}

@data
No,0,Graduate,No,3159,0,100,360,1,Semiurban,Y
Yes,3,Graduate,No,6406,0,150,360,1,Semiurban,N
No,0,NotGraduate,No,3200,2254,126,180,0,Urban,N
Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
No,0,Graduate,No,5316,0,136,360,1,Urban,Y
No,0,NotGraduate,No,1963,0,53,360,1,Semiurban,Y
No,0,Graduate,No,9508,0,187,360,1,Rural,Y
Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y
Yes,1,NotGraduate,No,6608,0,137,180,1,Urban,Y
Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
Yes,0,NotGraduate,No,3814,1483,124,300,1,Semiurban,Y
Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
Yes,1,NotGraduate,No,2653,1500,113,180,0,Rural,N
Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
No,0,Graduate,No,2500,20000,103,360,1,Semiurban,Y
Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
No,0,Graduate,No,6000,0,141,360,1,Urban,Y
Yes,2,Graduate,No,7583,0,187,360,1,Urban,Y
Yes,0,Graduate,No,5923,2054,211,360,1,Rural,Y
No,2,Graduate,No,3617,0,107,360,1,Semiurban,Y
Yes,2,Graduate,No,5391,0,130,360,1,Urban,Y
Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N
Yes,1,NotGraduate,No,2600,2500,90,360,1,Semiurban,Y
Yes,0,Graduate,No,2333,2417,136,360,1,Urban,Y
Yes,1,NotGraduate,No,3500,1083,135,360,1,Urban,Y
No,0,Graduate,No,3750,0,113,480,1,Urban,N
No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
No,1,Graduate,No,3062,1987,111,180,0,Urban,N
Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
No,1,Graduate,No,2600,0,160,360,1,Urban,N
Yes,3,Graduate,No,3029,0,99,360,1,Urban,Y
Yes,3,NotGraduate,Yes,7100,0,125,60,1,Urban,Y
Yes,1,Graduate,No,1782,2232,107,360,1,Rural,Y
Yes,0,Graduate,No,5829,0,138,360,1,Rural,Y
Yes,0,Graduate,No,1820,1719,100,360,1,Urban,Y
Yes,2,NotGraduate,No,4226,1040,110,360,1,Urban,Y
Yes,3,Graduate,No,3466,3428,150,360,1,Rural,Y
No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
Yes,0,Graduate,No,2625,6250,187,360,1,Rural,Y
Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
